article_batch_name,article_number,article_filename,article_sha256,article_text_length,tua_group_uuid,tua_group_name,tua_batch_uuid,tua_batch_name,tua_batch_final,source_task_uuid,tua_uuid,namespace,topic_name,case_number,answer_uuid,extra,highlight_count,start_pos,end_pos,target_text
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,07e8f51d-e9f8-45e6-99ec-c75e8c6a5bd8,Sources2021_02_23,01.12.01,1,3a420025-fc92-484a-aa88-7c73b6fa8e7b,"{""contrib_count"": 7, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,3d8c5c0a-f66e-4e13-b8a0-b25c79440292,Sources2021_02_23,01.05.03,1,4f58e6b5-084d-4169-bfda-75c64ee708c0,"{""contrib_count"": 7, ""answer_text_list"": []}",1,417,422,Tania
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,8a0e7211-7c52-4bc0-a7a5-97a7b3ce095b,Sources2021_02_23,01.07.06,1,c06afb67-fb3c-44fb-ba14-94908246b238,"{""contrib_count"": 6, ""answer_text_list"": []}",1,386,401,news conference
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,f1e8141c-a7c7-44da-ab93-b15e7992b348,Sources2021_02_23,01.01.02,1,e4b27f85-f2ee-4555-83bf-15890e9c6c78,"{""contrib_count"": 4, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,5a9645b4-ebc5-4373-a1aa-9cdb53f66406,Sources2021_02_23,01.08.02,1,34edcf9d-4972-4742-914a-708b1325718b,"{""contrib_count"": 6, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,68036bb6-4590-412b-95bc-410f14e26cae,Sources2021_02_23,01.02.02,1,49ee34db-883c-41c2-8a6a-d5e5ddfb828b,"{""contrib_count"": 4, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,d07e3293-4094-456f-86d1-b267edd3a7e5,Sources2021_02_23,01.05.02,1,c14cfbf4-9178-4bad-a780-d59cf704a4ac,"{""contrib_count"": 4, ""answer_text_list"": []}",1,410,415,Const
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,d32d6734-7a54-4b77-b949-f7e898258a06,Sources2021_02_23,01.06.01,1,7ec12d42-9ce5-45a0-9c22-17059884f0c1,"{""contrib_count"": 7, ""answer_text_list"": []}",1,457,494,"only suffering a sore arm, physically"
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,cc63ab6c-aed0-4d90-8b9e-6e59eb10f61b,Sources2021_02_23,01.06.01,2,7ec12d42-9ce5-45a0-9c22-17059884f0c1,"{""contrib_count"": 7, ""answer_text_list"": []}",1,905,1044,"She did only suffer from a sore arm but when you\u2019re in this situation, randomly attacked the way this woman was, it\u2019s heartbreaking to hear"
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,1e15329f-f367-45bd-a402-6703310813df,Sources2021_02_23,01.06.01,3,7ec12d42-9ce5-45a0-9c22-17059884f0c1,"{""contrib_count"": 7, ""answer_text_list"": []}",1,1058,1109,"It must be very frightening for her, very traumatic"
